id,name,address,isClosed,issue,quality,menuCount,dishNamesCount,shopeefoodSlug
"r_ct_bep_nha_co_tien_an_uong_nguyen_viet_hong.sld8zr","Bếp Nhà Cô Tiên - Ăn Uống - Nguyễn Việt Hồng","110/3, Hẻm 5 Lê Lai, P. An Phú, Quận Ninh Kiều, Cần Thơ","","empty_menu_body","empty","","8","bep-nha-co-tien-an-uong-nguyen-viet-hong.sld8zr"
"r_ct_%E9%95%BF%E9%B2%8D%E9%B1%BC_truong_bao_ngu_sup_bao_ngu_vi_ca_tam_bo_phan_dang_luu","长鲍鱼 Trường Bào Ngư - Súp Bào Ngư Vi Cá Tẩm Bổ - Phan Đăng Lưu","21/3 Phan Đăng Lưu, P. Thới Bình, Quận Ninh Kiều , Cần Thơ","","missing_on_supabase","empty","","10","长鲍鱼-truong-bao-ngu-sup-bao-ngu-vi-ca-tam-bo-phan-dang-luu"
"r_ct_banh_bot_loc_co_be_huynh_cuong.yapvj8","Bánh Bột Lộc Cô Bé - Huỳnh Cương","239 Huỳnh Cương, P. An Cư, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","4","6","banh-bot-loc-co-be-huynh-cuong.yapvj8"
"r_ct_bun_xao_cha_gio_68_bun_xao_thuc_an.odpoth","Bún Xào Chả Giò 68 - Bún Xào & Thức Ăn","50/89A1 Hẻm 50 Trần Hoàng Na, P. Hưng Lợi, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","76","bun-xao-cha-gio-68-bun-xao-thuc-an.odpoth"
"r_ct_bo_s_yogurt_sua_chua_chung_cu_nam_long_2.sfzjpc","Bơ's Yogurt - Sữa Chua - Chung Cư Nam Long 2","E9.15, N3 Chung Cư Nam Long 2, Quận Cái Răng , Cần Thơ","","template_menu","unsplash_template","4","6","bo-s-yogurt-sua-chua-chung-cu-nam-long-2.sfzjpc"
"r_ct_bep_anh_bey_banh_tam_chay_nguyen_trai.fudihk","Bếp Anh Bẻy - Bánh Tằm Chay - Nguyễn Trãi","12/9 Nguyễn Trãi, P. Tân An, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","4","6","bep-anh-bey-banh-tam-chay-nguyen-trai.fudihk"
"r_ct_bep_ma_hong_banh_tam_bi_xiu_mai_banh_hoi_thit_kim_tien_com_suon_bun_kim_tien_goi_cuon_67_3_15_nguyen_thong.fgx6au","Bếp Má Hồng - Bánh Tằm Bì Xíu Mại, Bánh Hỏi Thịt Kim Tiền & Cơm Sườn - Nguyễn Thông","67/3/15 Nguyễn Thông, P. An Thới, Quận Bình Thủy , Cần Thơ","","template_menu","unsplash_template","5","26","bep-ma-hong-banh-tam-bi-xiu-mai-banh-hoi-thit-kim-tien-com-suon-bun-kim-tien-goi-cuon-67-3-15-nguyen-thong.fgx6au"
"r_ct_com_me_nau_com_tam_suon_muoi_xa_ot_nuong_phan_dang_luu.gidw0s","Cơm Mẹ Nấu - Cơm Tấm Sườn Muối Xã Ớt Nướng - Phan Đăng Lưu","67/12 Phan Đăng Lưu, P. Thới Bình, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","34","com-me-nau-com-tam-suon-muoi-xa-ot-nuong-phan-dang-luu.gidw0s"
"r_ct_com_tam_cay_sung_cu_com_ga_ta_phan_dinh_phung.p70zdc","Cơm Tấm Cây Sung ( Cũ ) - Cơm Gà Ta - Phan Đình Phùng","112 Phan Đình Phùng, P. Tân An, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","86","com-tam-cay-sung-cu-com-ga-ta-phan-dinh-phung.p70zdc"
"r_ct_ga_u_muoi_thai_shipper_ga_u_muoi_nguyen_thi_minh_khai.mfrr9q","Gà Ủ Muối Thái Shipper - Nguyễn Thị Minh Khai","14/114A Nguyễn Thị Minh Khai, P. Tân An, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","4","6","ga-u-muoi-thai-shipper-ga-u-muoi-nguyen-thi-minh-khai.mfrr9q"
"r_ct_phuoc_com_suon_huynh_cuong.glabqc","Phước - Cơm Sườn - Huỳnh Cương","239 Huỳnh Cương, P. An Cư, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","27","phuoc-com-suon-huynh-cuong.glabqc"
"r_ct_quan_banh_beo_chung_cu_banh_beo_truong_dinh.opfacs","Quán Bánh Bèo Chung Cư - Bánh Bèo - Trương Định","30 Trương Định, P. An Cư, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","4","16","quan-banh-beo-chung-cu-banh-beo-truong-dinh.opfacs"
"r_ct_tiem_nha_chidi_sua_tuoi_thot_not_rim_duong_16.mzbjni","TIỆM NHÀ CHIDI - Sữa Tươi Thốt Nốt Rim - Đường 16","Số 69 Đường 16, P. An Khánh, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","4","9","tiem-nha-chidi-sua-tuoi-thot-not-rim-duong-16.mzbjni"
"r_ct_tiem_nha_ann_tra_sua_nguyen_van_cu.s2vavg","Tiệm Nhà Ann - Trà Sữa - Nguyễn Văn Cừ","388b2/14 Liên Tổ 3-4 Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","11","tiem-nha-ann-tra-sua-nguyen-van-cu.s2vavg"
"r_ct_tram_dung_chan_ut_duong_bun_bo_com_suon_com_ga_ba_lang_cai_rang_can_tho.xfzuep","Trạm Dừng Chân Út Dương - Bún Bò, Cơm Sườn & Cơm Gà - QL1A","116 QL1A, KV2, P. Ba Láng, Quận Cái Răng , Cần Thơ","","template_menu","unsplash_template","5","7","tram-dung-chan-ut-duong-bun-bo-com-suon-com-ga-ba-lang-cai-rang-can-tho.xfzuep"
"r_ct_xuxu_milk_tea_tra_sua_30_thang_4.vuvucb","Xuxu Milk & Tea - Trà Sữa - 30 Tháng 4","99/6 30 Tháng 4, P. Xuân Khánh, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","21","xuxu-milk-tea-tra-sua-30-thang-4.vuvucb"
"r_ct_i_vi_banh_trang_tron_25_tran_viet_chau.7nlpnj","Ì Ví - Bánh Tráng Trộn - 25 Trần Việt Châu","25 Trần Việt Châu, P. An Hòa, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","5","i-vi-banh-trang-tron-25-tran-viet-chau.7nlpnj"
"r_ct_ech_nuong_campuchia_an_vat_3_2.szpprr","Ếch Nướng Campuchia - Ăn Vặt - 3/2","128 3 tháng 2, P. Xuân Khánh, Quận Ninh Kiều , Cần Thơ","","template_menu","unsplash_template","5","5","ech-nuong-campuchia-an-vat-3-2.szpprr"
"r_ct_ang_pizza_va_tra_sua_28_tran_chien.zpwimb","ANG - Pizza Và Trà Sữa - Trần Chiên","20/02 Khu Vực 6, Trần Chiên, P. Lê Bình, Quận Cái Răng , Cần Thơ","True","template_menu","unsplash_template","5","45","ang-pizza-va-tra-sua-28-tran-chien.zpwimb"
"r_ct_an_coffee_and_tea_hem_2_nguyen_viet_hong.rj7ua9","An - Coffee & Tea - Lý Tự Trọng","1/15D Hẻm 1 Đường Lý Tự Trọng, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","11","an-coffee-and-tea-hem-2-nguyen-viet-hong.rj7ua9"
"r_ct_butino_coffee_sinh_to_tra_sua_nuoc_ep_27_huynh_cuong.efjgv7","Butino Coffee - Sinh Tố, Trà Sữa & Nước Ép - 27 Huỳnh Cương","27 Huỳnh Cương, P. An Cư, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","31","butino-coffee-sinh-to-tra-sua-nuoc-ep-27-huynh-cuong.efjgv7"
"r_ct_bun_real_132_bun_rieu_cua_bun_thit_xao_132_26g_hem_132_duong_3_2_hung_loi_ninh_kieu_tpct.oghhlj","Bún Real 132 - Bún Riêu Cua, Bún Thịt Xào - Đường 3/2","132/26G Hẻm 132, Đường 3/2, P. Hưng Lợi, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","35","bun-real-132-bun-rieu-cua-bun-thit-xao-132-26g-hem-132-duong-3-2-hung-loi-ninh-kieu-tpct.oghhlj"
"r_ct_bun_dau_mam_tom_a_lu_bun_dau_mam_tom_tran_nam_phu.hs8oz1","Bún Đậu Mắm Tôm A Lử - Bún Đậu Mắm Tôm - Trần Nam Phú","30 Trần Nam Phú, P. An Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","24","bun-dau-mam-tom-a-lu-bun-dau-mam-tom-tran-nam-phu.hs8oz1"
"r_ct_bep_me_dau_com_ga_nuong_cay_nguyen_van_cu_noi_dai.nbr9jt","Bếp Mẹ Dâu - Cơm Gà Nướng Cay - Nguyễn Văn Cừ","Hẻm Liên Tổ 1 - 2 Nguyễn Văn Cừ, P. An Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","6","bep-me-dau-com-ga-nuong-cay-nguyen-van-cu-noi-dai.nbr9jt"
"r_ct_cota_mi_y_nui_xo_viet_nghe_tinh.nf8xn1","COTA - Mì Ý & Nui - Xô Viết Nghệ Tĩnh","37 Xô Viết Nghệ Tĩnh, P. An Cư, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","16","cota-mi-y-nui-xo-viet-nghe-tinh.nf8xn1"
"r_ct_chao_family_banh_my_hambuger_ong_tay_thuc_an_mang_di_to_hien_thanh.jl5tuq","Cháo Family Bánh Mỳ Hambuger Ông Tây - Thức Ăn Mang Đi - Tô Hiến Thành","22 Tô Hiến Thành, P. An Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","25","chao-family-banh-my-hambuger-ong-tay-thuc-an-mang-di-to-hien-thanh.jl5tuq"
"r_ct_ca_phe_hat_pha_may_an_phat_coffee_ca_phe_pha_may_tran_nam_phu.pszh7i","Cà Phê Hạt Pha Máy An Phát Coffee - Cà Phê Pha Máy - Trần Nam Phú","385N/14B Trần Nam Phú, P. An Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","23","ca-phe-hat-pha-may-an-phat-coffee-ca-phe-pha-may-tran-nam-phu.pszh7i"
"r_ct_ca_ri_cha_banh_mi_crc_nguyen_van_cu_noi_dai.8tfw7w","Cà Ri Chà - Bánh Mì CRC - Nguyễn Văn Cừ Nối Dài","36a Nguyễn Văn Cừ Nối Dài, P. An Bình, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","10","ca-ri-cha-banh-mi-crc-nguyen-van-cu-noi-dai.8tfw7w"
"r_ct_co_buoi_nuoc_ep_sinh_to_trai_cay_nguyen_van_linh.ii8a28","Cô Bưởi - Nước Ép & Sinh Tố Trái Cây - Nguyễn Văn Linh","28A Nguyễn Văn Linh, P. Hưng Lợi, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","30","co-buoi-nuoc-ep-sinh-to-trai-cay-nguyen-van-linh.ii8a28"
"r_ct_com_ngon_quan_com_ba_thang_hai.rwhhzi","Cơm Ngon Quán - Cơm - Ba Tháng Hai","83/17A 3 tháng 2, P. Hưng Lợi, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","3","com-ngon-quan-com-ba-thang-hai.rwhhzi"
"r_ct_com_tam_thanh_thu_com_tam_suon_bi_cha_tinh_lo_925.idzzap","Cơm Tấm Thanh Thư - Cơm Tấm Sườn Bì Chả - Tỉnh Lộ 925","154B Tỉnh Lộ 925, P. Ba Láng, Quận Cái Răng , Cần Thơ","True","template_menu","unsplash_template","5","9","com-tam-thanh-thu-com-tam-suon-bi-cha-tinh-lo-925.idzzap"
"r_ct_de_feau_cakes_drinks_mac_thien_tich.0fp0xk","De Féau - Cakes & Drinks - Mạc Thiên Tích","81/20 Mạc Thiên Tích, P. Xuân Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","4","46","de-feau-cakes-drinks-mac-thien-tich.0fp0xk"
"r_ct_destiny_fruits_395_nguyen_van_cu_noi_dai.l5dszp","Destiny - Fruits - 395 Nguyễn Văn Cừ Nối Dài","395 Nguyễn Văn Cừ Nối Dài, P. An Bình, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","4","37","destiny-fruits-395-nguyen-van-cu-noi-dai.l5dszp"
"r_ct_h_p_tea_milk_tea_coffee_74_76_hai_ba_trung.5x5vw3","H&P Tea - Milk Tea & Coffee - 74/76 Hai Bà Trưng","74-76 Hai Bà Trưng, P. Tân An, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","33","h-p-tea-milk-tea-coffee-74-76-hai-ba-trung.5x5vw3"
"r_ct_hoang_du_chao_thap_cam_nguyen_van_cu.hybpo3","Hoàng Du - Cháo Thập Cẩm - Nguyễn Văn Cừ","Hẻm Liên Tổ 3-4, Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","4","6","hoang-du-chao-thap-cam-nguyen-van-cu.hybpo3"
"r_ct_khoai_lac_banh_trang_tron_30_4.zm4sdh","Khoai Lắc Và Bánh Tráng Trộn - Đường 30/4","560 30 Tháng 4, P. Hưng Lợi, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","23","khoai-lac-banh-trang-tron-30-4.zm4sdh"
"r_ct_kifa_garden_coffee_ca_phe_diem_tam_com_van_phong_nguyen_minh_quang.yzkham","Kifa Garden Coffee - Điểm Tâm & Cơm Văn Phòng - Nguyễn Minh Quang","171C Nguyễn Minh Quang, P. An Khánh, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","48","kifa-garden-coffee-ca-phe-diem-tam-com-van-phong-nguyen-minh-quang.yzkham"
"r_ct_lani_tra_sua_138_tran_hung_dao.txg8br","Lani - Trà Sữa - 138 Trần Hưng Đạo","138/140A, Trần Hưng Đạo, P. An Nghiệp, Quận Ninh Kiều , Cần Thơ","True","template_menu","unsplash_template","5","8","lani-tra-sua-138-tran-hung-dao.txg8br"
